Timestamp,Date,Funding Rate,APY (annualized)
1733392800004,2024-12-05T10:00:00.004Z,3.996140e-4,262.55
1733396400003,2024-12-05T11:00:00.003Z,2.404307e-4,157.96
1733400000042,2024-12-05T12:00:00.042Z,2.139689e-4,140.58
1733403600067,2024-12-05T13:00:00.067Z,3.094745e-4,203.32
1733407200099,2024-12-05T14:00:00.099Z,2.775722e-4,182.36
1733410800049,2024-12-05T15:00:00.049Z,2.729497e-4,179.33
1733414400097,2024-12-05T16:00:00.097Z,2.231319e-4,146.60
1733418000041,2024-12-05T17:00:00.041Z,9.108200e-5,59.84
1733421600001,2024-12-05T18:00:00.001Z,2.677500e-4,175.91
1733425200061,2024-12-05T19:00:00.061Z,4.008036e-4,263.33
1733428800038,2024-12-05T20:00:00.038Z,8.316980e-5,54.64
1733432400184,2024-12-05T21:00:00.184Z,8.248090e-4,541.90
1733436000023,2024-12-05T22:00:00.023Z,1.284614e-4,84.40
1733439600149,2024-12-05T23:00:00.149Z,3.193169e-4,209.79
1733443200143,2024-12-06T00:00:00.143Z,1.169770e-4,76.85
1733446800187,2024-12-06T01:00:00.187Z,4.156530e-5,27.31
1733450400083,2024-12-06T02:00:00.083Z,1.250000e-5,8.21
1733454000016,2024-12-06T03:00:00.016Z,2.212900e-6,1.45
1733457600012,2024-12-06T04:00:00.012Z,1.250000e-5,8.21
1733461200025,2024-12-06T05:00:00.025Z,1.250000e-5,8.21
1733464800022,2024-12-06T06:00:00.022Z,3.312080e-5,21.76
1733468400114,2024-12-06T07:00:00.114Z,1.718724e-4,112.92
1733472000176,2024-12-06T08:00:00.176Z,2.324540e-5,15.27
1733475600041,2024-12-06T09:00:00.041Z,8.308510e-5,54.59
1733479200033,2024-12-06T10:00:00.033Z,2.438770e-4,160.23
1733482800029,2024-12-06T11:00:00.029Z,1.368265e-4,89.90
1733486400038,2024-12-06T12:00:00.038Z,1.374986e-4,90.34
1733490000002,2024-12-06T13:00:00.002Z,1.165374e-4,76.57
1733493600046,2024-12-06T14:00:00.046Z,3.294361e-4,216.44
1733497200141,2024-12-06T15:00:00.141Z,1.250000e-5,8.21
1733500800065,2024-12-06T16:00:00.065Z,1.250000e-5,8.21
1733504400122,2024-12-06T17:00:00.122Z,2.572431e-4,169.01
1733508000062,2024-12-06T18:00:00.062Z,1.607833e-4,105.63
1733511600093,2024-12-06T19:00:00.093Z,1.838195e-4,120.77
1733515200001,2024-12-06T20:00:00.001Z,9.539600e-5,62.68
1733518800169,2024-12-06T21:00:00.169Z,2.059056e-4,135.28
1733522400012,2024-12-06T22:00:00.012Z,3.924620e-5,25.78
1733526000077,2024-12-06T23:00:00.077Z,1.250000e-5,8.21
1733529600117,2024-12-07T00:00:00.117Z,-1.383140e-5,-9.09
1733533200005,2024-12-07T01:00:00.005Z,4.179530e-5,27.46
1733536800077,2024-12-07T02:00:00.077Z,1.334517e-4,87.68
1733540400005,2024-12-07T03:00:00.005Z,2.397991e-4,157.55
1733544000047,2024-12-07T04:00:00.047Z,3.853216e-4,253.16
1733547600108,2024-12-07T05:00:00.108Z,6.240418e-4,410.00
1733551200082,2024-12-07T06:00:00.082Z,1.460002e-4,95.92
1733554800073,2024-12-07T07:00:00.073Z,2.022755e-4,132.90
1733558400112,2024-12-07T08:00:00.112Z,1.250000e-5,8.21
1733562000190,2024-12-07T09:00:00.190Z,1.755300e-5,11.53
