Date,Display Date,APY (%),Avg Funding Rate,Data Points
2024-12-05,Dec 5, 2024,190.18,2.894668e-4,14
2024-12-06,Dec 6, 2024,67.17,1.022353e-4,24
2024-12-07,Dec 7, 2024,85.26,1.297730e-4,24
2024-12-08,Dec 8, 2024,127.53,1.941115e-4,24
2024-12-09,Dec 9, 2024,114.68,1.745441e-4,24
2024-12-10,Dec 10, 2024,83.88,1.276685e-4,24
2024-12-11,Dec 11, 2024,52.82,8.039846e-5,24
2024-12-12,Dec 12, 2024,122.96,1.871475e-4,24
2024-12-13,Dec 13, 2024,47.26,7.192951e-5,24
2024-12-14,Dec 14, 2024,120.71,1.837261e-4,24
2024-12-15,Dec 15, 2024,158.94,2.419154e-4,24
2024-12-16,Dec 16, 2024,120.22,1.829781e-4,24
2024-12-17,Dec 17, 2024,132.77,2.020903e-4,24
2024-12-18,Dec 18, 2024,108.34,1.648957e-4,24
2024-12-19,Dec 19, 2024,83.70,1.273946e-4,24
2024-12-20,Dec 20, 2024,55.26,8.410214e-5,24
2024-12-21,Dec 21, 2024,59.35,9.033107e-5,24
2024-12-22,Dec 22, 2024,114.79,1.747195e-4,24
2024-12-23,Dec 23, 2024,101.24,1.541014e-4,24
2024-12-24,Dec 24, 2024,91.90,1.398846e-4,24
2024-12-25,Dec 25, 2024,118.14,1.798247e-4,24
2024-12-26,Dec 26, 2024,48.79,7.426097e-5,24
2024-12-27,Dec 27, 2024,23.65,3.599059e-5,24
2024-12-28,Dec 28, 2024,26.66,4.058482e-5,24
2024-12-29,Dec 29, 2024,23.91,3.639951e-5,24
2024-12-30,Dec 30, 2024,71.26,1.084691e-4,24
2024-12-31,Dec 31, 2024,96.24,1.464874e-4,24
2025-01-01,Jan 1, 2025,29.82,4.539536e-5,24
2025-01-02,Jan 2, 2025,67.46,1.026821e-4,24
2025-01-03,Jan 3, 2025,33.25,5.061304e-5,24
2025-01-04,Jan 4, 2025,24.27,3.694355e-5,24
2025-01-05,Jan 5, 2025,39.63,6.031970e-5,24
2025-01-06,Jan 6, 2025,11.25,1.712582e-5,24
2025-01-07,Jan 7, 2025,33.10,5.038585e-5,24
2025-01-08,Jan 8, 2025,95.72,1.456891e-4,24
2025-01-09,Jan 9, 2025,26.15,3.980695e-5,24
2025-01-10,Jan 10, 2025,18.23,2.774192e-5,24
2025-01-11,Jan 11, 2025,46.26,7.041213e-5,24
2025-01-12,Jan 12, 2025,14.46,2.200979e-5,24
2025-01-13,Jan 13, 2025,36.34,5.531811e-5,24
2025-01-14,Jan 14, 2025,11.14,1.696131e-5,24
2025-01-15,Jan 15, 2025,7.09,1.079822e-5,24
2025-01-16,Jan 16, 2025,8.49,1.292515e-5,24
2025-01-17,Jan 17, 2025,53.56,8.151690e-5,24
2025-01-18,Jan 18, 2025,155.73,2.370291e-4,24
2025-01-19,Jan 19, 2025,169.59,2.581245e-4,24
2025-01-20,Jan 20, 2025,107.05,1.629422e-4,24
2025-01-21,Jan 21, 2025,19.60,2.982565e-5,24
